撮影日,場所,企画,シーン,カットNo,ショット,画,音・演出,尺,被写体,機材,ステータス
DAY7,ロケ（街・オフィス）,⑦買い足し／ブラウン,転・結,⑦-9,MACRO,最初の財布だけ、色が深くなっている,無音に近づける,40-46秒,経年した財布（別個体を用意）,DAY5と同一三脚位置／室内は俯瞰スタンド,未撮影
DAY7,ロケ（街・オフィス）,⑦買い足し／ブラウン,転・結,⑦-10,EDIT 編集,テロップ「気づけば、四点。」,BGMが締まる,46-50秒,-,DAY5と同一三脚位置／室内は俯瞰スタンド,未撮影
DAY7,ロケ（街・オフィス）,⑦買い足し／グリーン,転・結,⑦-5,LS 引き,さらに別の日。コートを着ている,同じ道、違う季節,19-23秒,モデル1名（コート）,DAY5と同一三脚位置／室内は俯瞰スタンド,未撮影
DAY7,ロケ（街・オフィス）,⑦買い足し／グリーン,転・結,⑦-6,WORM ワームズアイ,鍵を取り出して扉を開ける。足元から,3点目,23-27秒,グリーンのキーケース,DAY5と同一三脚位置／室内は俯瞰スタンド,未撮影
DAY7,ロケ（街・オフィス）,⑦買い足し／グリーン,転・結,⑦-7,FS 全身,バッグを肩にかけて歩く,4点目。ここで揃う,27-32秒,グリーンのバッグ,DAY5と同一三脚位置／室内は俯瞰スタンド,未撮影
DAY7,ロケ（街・オフィス）,⑦買い足し／グリーン,転・結,⑦-8,BIRD 真俯瞰,帰宅。テーブルに4点を置いていく,置く音が4回,32-40秒,4点セット,DAY5と同一三脚位置／室内は俯瞰スタンド,未撮影
DAY7,ロケ（街・オフィス）,⑦買い足し／グリーン,転・結,⑦-9,MACRO,最初の財布だけ、色が深くなっている,無音に近づける,40-46秒,経年した財布（別個体を用意）,DAY5と同一三脚位置／室内は俯瞰スタンド,未撮影
DAY7,ロケ（街・オフィス）,⑦買い足し／グリーン,転・結,⑦-10,EDIT 編集,テロップ「気づけば、四点。」,BGMが締まる,46-50秒,-,DAY5と同一三脚位置／室内は俯瞰スタンド,未撮影
DAY8,表参道店,⑥店舗案内［仮：スタッフ調整］,起承転結,⑥-1,LS 引き,表参道の街並みから、店へ向かって歩く,街の音,0:00-0:08,店舗スタッフ・客役,ジンバル・小型LED・ピンマイク,未撮影
DAY8,表参道店,⑥店舗案内［仮：スタッフ調整］,起承転結,⑥-2,LOW ローアングル,店の外観。看板と入口。見上げる,目印になる情報を必ず入れる,0:08-0:14,店舗スタッフ・客役,ジンバル・小型LED・ピンマイク,未撮影
DAY8,表参道店,⑥店舗案内［仮：スタッフ調整］,起承転結,⑥-3,POV 主観,扉を開ける。手が伸び、扉が開き、店内が見える,企画書指定カット。ここで「入れる」と思わせる,0:14-0:20,店舗スタッフ・客役,ジンバル・小型LED・ピンマイク,未撮影
DAY8,表参道店,⑥店舗案内［仮：スタッフ調整］,起承転結,⑥-4,MS 中景,スタッフが顔を上げて迎える。挨拶する,人が映っていること自体が目的,0:20-0:30,店舗スタッフ・客役,ジンバル・小型LED・ピンマイク,未撮影
DAY8,表参道店,⑥店舗案内［仮：スタッフ調整］,起承転結,⑥-5,BIRD / LS,店内の全景。什器と商品の並び,広さと明るさが分かる画角,0:30-0:42,店舗スタッフ・客役,ジンバル・小型LED・ピンマイク,未撮影
DAY8,表参道店,⑥店舗案内［仮：スタッフ調整］,起承転結,⑥-6,CU 寄り,商品が色ごとに並ぶ棚。手が1点を取る,色がこのブランドの特徴,0:42-0:55,店舗スタッフ・客役,ジンバル・小型LED・ピンマイク,未撮影
DAY8,表参道店,⑥店舗案内［仮：スタッフ調整］,起承転結,⑥-7,MS 中景,客が実物を手に取り、スタッフが説明する,一人で来ても大丈夫だと伝わる距離感,0:55-1:10,店舗スタッフ・客役,ジンバル・小型LED・ピンマイク,未撮影
DAY8,表参道店,⑥店舗案内［仮：スタッフ調整］,起承転結,⑥-8,ECU 超寄り,刻印機に名前を組み、目の前で押す,圧の音。店でしかできないこと,1:10-1:25,店舗スタッフ・客役,ジンバル・小型LED・ピンマイク,未撮影
DAY8,表参道店,⑥店舗案内［仮：スタッフ調整］,起承転結,⑥-9,TWO ツーショット,押し上がった刻印を、二人で覗き込む,表情が出る唯一のカット,1:25-1:34,店舗スタッフ・客役,ジンバル・小型LED・ピンマイク,未撮影
DAY8,表参道店,⑥店舗案内［仮：スタッフ調整］,起承転結,⑥-10,MS 中景,包んで渡し、見送る,扉の音,1:34-1:40,店舗スタッフ・客役,ジンバル・小型LED・ピンマイク,未撮影
DAY8,表参道店,⑥店舗案内［仮：スタッフ調整］,起承転結,⑥-11,EDIT 編集,住所・営業時間・最寄駅からの経路・地図,Googleビジネスプロフィール掲載前提で地図を大きく,1:40-1:50,店舗スタッフ・客役,ジンバル・小型LED・ピンマイク,未撮影
DAY8,表参道店,⑤購入者インタビュー［仮：出演調整］,起承結,⑤-1,CU 寄り,実際に使っている手元。財布を開く／バッグに物を入れる,環境音のみ。まだ話し始めない,0-4秒,購入者3〜5名（レビュー投稿者）,三脚・ピンマイク・マクロレンズ,未撮影
DAY8,表参道店,⑤購入者インタビュー［仮：出演調整］,起承結,⑤-2,BS バストショット,話し手が座る。名前・職業・使用年数はテロップ,一言から始める,4-8秒,購入者3〜5名（レビュー投稿者）,三脚・ピンマイク・マクロレンズ,未撮影
DAY8,表参道店,⑤購入者インタビュー［仮：出演調整］,起承結,⑤-3,BS ＋ インサート,問1「買った理由は」,語りの上に使用シーンをインサート,8-18秒,購入者3〜5名（レビュー投稿者）,三脚・ピンマイク・マクロレンズ,未撮影
DAY8,表参道店,⑤購入者インタビュー［仮：出演調整］,起承結,⑤-4,BS,問2「不満はありますか」,良い話だけにしない。削ると広告に見える,18-27秒,購入者3〜5名（レビュー投稿者）,三脚・ピンマイク・マクロレンズ,未撮影
DAY8,表参道店,⑤購入者インタビュー［仮：出演調整］,起承結,⑤-5,BS ＋ インサート,問3「それでも使い続けている理由は」,いちばん長く尺を取る,27-35秒,購入者3〜5名（レビュー投稿者）,三脚・ピンマイク・マクロレンズ,未撮影
DAY8,表参道店,⑤購入者インタビュー［仮：出演調整］,起承結,⑤-6,MACRO,経年変化した部分。角の擦れ、色の深まり、縫い目,語りが終わり無音に近づける,35-45秒,購入者3〜5名（レビュー投稿者）,三脚・ピンマイク・マクロレンズ,未撮影
DAY8,表参道店,⑤購入者インタビュー［仮：出演調整］,起承結,⑤-7,TWO / MS,本人と現物。テロップ「◯年使用／品番◯◯」,BGMが締まる,45-55秒,購入者3〜5名（レビュー投稿者）,三脚・ピンマイク・マクロレンズ,未撮影
DAY8,表参道店,⑤購入者インタビュー［仮：出演調整］,起承結,⑤-8,EDIT 編集,商品ページへの導線テロップ,-,55-60秒,購入者3〜5名（レビュー投稿者）,三脚・ピンマイク・マクロレンズ,未撮影
DAY9,ロケ（贈答シーン）,⑨梱包から受け取り,結,⑨-6,LS 引き,贈る人が、箱を背中に隠して近づいてくる,足音。相手には何も見えていない,18-22秒,贈る人・受け取る人 各1名,三脚・ローアングル台・小型LED。送り状は絶対に映さない,未撮影
DAY9,ロケ（贈答シーン）,⑨梱包から受け取り,結,⑨-7,TWO ツーショット,差し出され、受け取る,開封音,22-26秒,贈る人・受け取る人 各1名,三脚・ローアングル台・小型LED。送り状は絶対に映さない,未撮影
DAY9,ロケ（贈答シーン）,⑨梱包から受け取り,結,⑨-8,LOW ローアングル,商品の位置から見上げる。開けた瞬間の驚く顔,BGMがピークへ,26-30秒,贈る人・受け取る人 各1名,三脚・ローアングル台・小型LED。送り状は絶対に映さない,未撮影
DAY9,ロケ（贈答シーン）,⑨梱包から受け取り,結,⑨-9,CU 寄り,手渡す側と受け取る側。顔は入れず手だけで成立させる,BGMが締まる,30-33秒,贈る人・受け取る人 各1名,三脚・ローアングル台・小型LED。送り状は絶対に映さない,未撮影
DAY9,ロケ（贈答シーン）,①コーポレート,結,①-7,POV / REACTION,受け取った人の目線で蓋が開く。開けた瞬間の表情,開封音。BGMがピークへ,1:44-1:52,贈る人・受け取る人 各1名,三脚・ローアングル台・小型LED。送り状は絶対に映さない,未撮影
DAY10,向島工房,⑩採用ムービー［仮：出演調整］,転・結／新規撮影のみ,⑩-6,MS 中景,若手が図面を引く手元から、顔へ,生音,1:40-1:55,社員（若手・ベテラン）,①の撮影日に半日追加で収録可,未撮影
DAY10,向島工房,⑩採用ムービー［仮：出演調整］,転・結／新規撮影のみ,⑩-7,TWO ツーショット,社員2人が革を挟んで相談している,声は生音。少人数で一貫して関われる実景,1:55-2:12,社員（若手・ベテラン）,①の撮影日に半日追加で収録可,未撮影
DAY10,向島工房,⑩採用ムービー［仮：出演調整］,転・結／新規撮影のみ,⑩-8,BS バストショット,働いている人が、カメラに向かって一言,ここでしか経験できないことを一つだけ示す,2:12-2:30,社員（若手・ベテラン）,①の撮影日に半日追加で収録可,未撮影
DAY10,向島工房,⑩採用ムービー［仮：出演調整］,転・結／新規撮影のみ,⑩-9,LS 引き,就業後、工房の明かりが落ちる／全員が並ぶ引き,BGMが締まる,2:30-2:45,社員（若手・ベテラン）,①の撮影日に半日追加で収録可,未撮影
DAY11,向島工房,⑪この道、20年。,S1 目だけ,⑪-S1-1,ECU 目のクローズアップ（真正面）,眉から鼻の上まで。画面いっぱいに目が入るくらい寄る。ピントはまつげ,S4（22-42秒）は③工程ショート7本の素材を再編集するため撮影不要,0-4秒,佐藤さん,三脚・広角レンズ・ピンマイク。出演の了承が必要,未撮影
DAY11,向島工房,⑪この道、20年。,S1 目だけ,⑪-S1-2,ECU 眼鏡越しの目,レンズに作業台の光が映り込む,S4（22-42秒）は③工程ショート7本の素材を再編集するため撮影不要,0-4秒,佐藤さん,三脚・広角レンズ・ピンマイク。出演の了承が必要,未撮影
DAY11,向島工房,⑪この道、20年。,S1 目だけ,⑪-S1-3,ECU 横顔の目（プロファイル）,視線の先に革がある構図。目→手元へつなぎやすい,S4（22-42秒）は③工程ショート7本の素材を再編集するため撮影不要,0-4秒,佐藤さん,三脚・広角レンズ・ピンマイク。出演の了承が必要,未撮影
DAY11,向島工房,⑪この道、20年。,S2 工房の中の佐藤さん（広角）,⑪-S2-1,LS 広角・真正面から引き,工房の奥行きが出る位置。佐藤さんは中央より少しずらす,S4（22-42秒）は③工程ショート7本の素材を再編集するため撮影不要,4-12秒,佐藤さん,三脚・広角レンズ・ピンマイク。出演の了承が必要,未撮影
DAY11,向島工房,⑪この道、20年。,S2 工房の中の佐藤さん（広角）,⑪-S2-2,LOW 広角・ローアングル,床すれすれから見上げる。天井と作業台が入る,S4（22-42秒）は③工程ショート7本の素材を再編集するため撮影不要,4-12秒,佐藤さん,三脚・広角レンズ・ピンマイク。出演の了承が必要,未撮影
DAY11,向島工房,⑪この道、20年。,S2 工房の中の佐藤さん（広角）,⑪-S2-3,LS フレーム内フレーム,手前にドアや棚を入れて奥に佐藤さん,S4（22-42秒）は③工程ショート7本の素材を再編集するため撮影不要,4-12秒,佐藤さん,三脚・広角レンズ・ピンマイク。出演の了承が必要,未撮影
DAY11,向島工房,⑪この道、20年。,S3 中腰の距離で縫う,⑪-S3-1,MS 中腰の高さから斜め上,三脚を胸の高さに。手元にピント。10秒を1カットで,S4（22-42秒）は③工程ショート7本の素材を再編集するため撮影不要,12-22秒,佐藤さん,三脚・広角レンズ・ピンマイク。出演の了承が必要,未撮影
DAY11,向島工房,⑪この道、20年。,S3 中腰の距離で縫う,⑪-S3-2,OTS 肩越し（後ろから）,佐藤さんの肩の後ろから手元を見る,S4（22-42秒）は③工程ショート7本の素材を再編集するため撮影不要,12-22秒,佐藤さん,三脚・広角レンズ・ピンマイク。出演の了承が必要,未撮影
DAY11,向島工房,⑪この道、20年。,S3 中腰の距離で縫う,⑪-S3-3,PROFILE 真横,背中の丸まりと手を引く動きの大きさ,S4（22-42秒）は③工程ショート7本の素材を再編集するため撮影不要,12-22秒,佐藤さん,三脚・広角レンズ・ピンマイク。出演の了承が必要,未撮影
DAY11,向島工房,⑪この道、20年。,S5 完成＋タイトル,⑪-S5-1,CU 手のひらの上の完成品,手と商品だけ。手の質感と新品の対比,S4（22-42秒）は③工程ショート7本の素材を再編集するため撮影不要,42-60秒,佐藤さん,三脚・広角レンズ・ピンマイク。出演の了承が必要,未撮影
DAY11,向島工房,⑪この道、20年。,S5 完成＋タイトル,⑪-S5-2,BIRD 真俯瞰で置く,冒頭の一枚の革と同じ画角にして閉じる,S4（22-42秒）は③工程ショート7本の素材を再編集するため撮影不要,42-60秒,佐藤さん,三脚・広角レンズ・ピンマイク。出演の了承が必要,未撮影
DAY11,向島工房,⑪この道、20年。,S5 完成＋タイトル,⑪-S5-3,ECU もう一度、目,冒頭と同じ目のカット。テロップ「この道、20年。」を重ねる,S4（22-42秒）は③工程ショート7本の素材を再編集するため撮影不要,42-60秒,佐藤さん,三脚・広角レンズ・ピンマイク。出演の了承が必要,未撮影
